"filename", "language", "JavaScript", "PHP", "XML", "CSS", "SCSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_text-truncate.scss", "SCSS", 0, 0, 0, 0, 5, 0, 2, 2, 9
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_transition.scss", "SCSS", 0, 0, 0, 0, 22, 0, 1, 4, 27
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_visibility.scss", "SCSS", 0, 0, 0, 0, 4, 0, 2, 3, 9
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_align.scss", "SCSS", 0, 0, 0, 0, 6, 0, 1, 2, 9
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_background.scss", "SCSS", 0, 0, 0, 0, 14, 0, 1, 5, 20
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_borders.scss", "SCSS", 0, 0, 0, 0, 52, 0, 7, 17, 76
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_clearfix.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_display.scss", "SCSS", 0, 0, 0, 0, 13, 0, 7, 7, 27
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_embed.scss", "SCSS", 0, 0, 0, 0, 33, 0, 1, 6, 40
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_flex.scss", "SCSS", 0, 0, 0, 0, 39, 0, 4, 9, 52
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_float.scss", "SCSS", 0, 0, 0, 0, 8, 0, 1, 3, 12
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_interactions.scss", "SCSS", 0, 0, 0, 0, 3, 0, 1, 2, 6
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_overflow.scss", "SCSS", 0, 0, 0, 0, 3, 0, 1, 2, 6
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_position.scss", "SCSS", 0, 0, 0, 0, 24, 0, 3, 6, 33
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_screenreaders.scss", "SCSS", 0, 0, 0, 0, 6, 0, 3, 3, 12
